frame,r_sh_x,r_sh_y,l_sh_x,l_sh_y,r_el_x,r_el_y,r_wr_x,r_wr_y,l_el_x,l_el_y,l_wr_x,l_wr_y,r_hip_x,r_hip_y,r_kn_x,r_kn_y,r_an_x,r_an_y
0,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
